API Name,API ID,Stage,Has Authorizer,WAF Web ACL,API Gateway Type,Invoke URL,Associated Custom Domains
edge-gateway-v1_customers,lyl3gef26d,v1_customers,True,No,EDGE,https://lyl3gef26d.execute-api.us-east-1.amazonaws.com/v1_customers,"[{'domain_name': 'gateway.stockx.com', 'base_path': 'api/v1/customers', 'regional_domain_name': 'd-yiagdhgffh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'gateway.stockx.io', 'base_path': 'api/v1/customers', 'regional_domain_name': 'd-jp1ttxo3b8.execute-api.us-east-1.amazonaws.com'}]"
public-api,mox0z7h7l3,public,True,No,EDGE,https://mox0z7h7l3.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'api.stockx.com', 'base_path': '(none)', 'regional_domain_name': 'N/A'}]"
edge-gateway,u3muusnpj7,api,True,No,EDGE,https://u3muusnpj7.execute-api.us-east-1.amazonaws.com/api,"[{'domain_name': 'edge-gateway.stockx.io', 'base_path': 'api', 'regional_domain_name': 'N/A'}, {'domain_name': 'gateway.stockx.com', 'base_path': 'api', 'regional_domain_name': 'd-yiagdhgffh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'gateway.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-jp1ttxo3b8.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'secure.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-pkq9gwea30.execute-api.us-east-1.amazonaws.com'}]"
edge-gateway,u3muusnpj7,public,True,No,EDGE,https://u3muusnpj7.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'edge-gateway.stockx.io', 'base_path': 'public', 'regional_domain_name': 'N/A'}, {'domain_name': 'gateway.stockx.com', 'base_path': 'public', 'regional_domain_name': 'd-yiagdhgffh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'gateway.stockx.io', 'base_path': 'public', 'regional_domain_name': 'd-jp1ttxo3b8.execute-api.us-east-1.amazonaws.com'}]"
