Load Balancer Name,Load Balancer ARN,Has Security Group,Load Balancer Type,Is Public,VPC ID,VPC Name,DNS Name,Tags
staging-stockx-excursions-lb,arn:aws:elasticloadbalancing:us-east-1:564098143685:loadbalancer/app/staging-stockx-excursions-lb/57cd4d3fd8367e89,Yes,application,Yes,vpc-03fb0428f8a66998f,staging-blogs,staging-stockx-excursions-lb-922482819.us-east-1.elb.amazonaws.com,{'Environment': 'production'}
staging-stockx-lp-lb,arn:aws:elasticloadbalancing:us-east-1:564098143685:loadbalancer/app/staging-stockx-lp-lb/844147bed87a4a77,Yes,application,Yes,vpc-03fb0428f8a66998f,staging-blogs,staging-stockx-lp-lb-2122079969.us-east-1.elb.amazonaws.com,{'Environment': 'production'}
staging-stockx-about-lb,arn:aws:elasticloadbalancing:us-east-1:564098143685:loadbalancer/app/staging-stockx-about-lb/a45242cd8644aa69,Yes,application,Yes,vpc-03fb0428f8a66998f,staging-blogs,staging-stockx-about-lb-824423415.us-east-1.elb.amazonaws.com,{'Environment': 'production'}
staging-stockx-news-lb,arn:aws:elasticloadbalancing:us-east-1:564098143685:loadbalancer/app/staging-stockx-news-lb/e31c94561a610ec7,Yes,application,Yes,vpc-03fb0428f8a66998f,staging-blogs,staging-stockx-news-lb-777164634.us-east-1.elb.amazonaws.com,{'Environment': 'production'}
