Zone ID,Zone Name,Record Type,Record Name,Record Content,Matched Resource
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-bids.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-buyer.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-compliance.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-countries.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-cs.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-delivery.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-digital-ownership.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-discount-codes.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-discovery.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-dynamic-landing-page.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-experiments.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-finances.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-gatekeeper.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-gift-cards.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-inbox.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-layout.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-listings.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-lists.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-location.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-logistics-rules-engine.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-manifest.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-market.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-meta-tags-override.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-news.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-nft-management.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-notification-subscriptions.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-onboarding.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-order.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-payments.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-portfolio-item.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-pricing.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-pricing-guidance.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-product-listings.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-products.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-promotions.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-proxy.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-seller.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-shipments.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-user.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,edge-platform-user-prize.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,encore-backend.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,encore.dev1.stockx.io,dev-frontend-external-ingress-a179d7e2a5e860a8.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,engtools-backend.dev1.stockx.io,dev-external-ingress-403bcf977a9de392.elb.us-east-1.amazonaws.com,Load Balancer
8fd9427a3d318cf4db0e499eba4b78c8,stockx.io,CNAME,engtools.dev1.stockx.io,dev-frontend-external-ingress-a179d7e2a5e860a8.elb.us-east-1.amazonaws.com,Load Balancer
