API Name,API ID,Stage,Has Authorizer,WAF Web ACL,API Gateway Type,Invoke URL,Associated Custom Domains
edge-gateway-v1_customers,0gru1amr7l,v1_customers,True,No,EDGE,https://0gru1amr7l.execute-api.us-east-1.amazonaws.com/v1_customers,"[{'domain_name': 'gateway.staging.stockx.io', 'base_path': 'api/v1/customers', 'regional_domain_name': 'd-98lfrulerh.execute-api.us-east-1.amazonaws.com'}]"
public-api,dd6yymuuk6,public,True,No,EDGE,https://dd6yymuuk6.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'api.staging.stockx.io', 'base_path': '(none)', 'regional_domain_name': 'N/A'}]"
edge-gateway,yl2koh5db1,api,True,No,EDGE,https://yl2koh5db1.execute-api.us-east-1.amazonaws.com/api,"[{'domain_name': 'gateway.staging.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-98lfrulerh.execute-api.us-east-1.amazonaws.com'}, {'domain_name': 'secure.staging.stockx.io', 'base_path': 'api', 'regional_domain_name': 'd-noslwt4v76.execute-api.us-east-1.amazonaws.com'}]"
edge-gateway,yl2koh5db1,public,True,No,EDGE,https://yl2koh5db1.execute-api.us-east-1.amazonaws.com/public,"[{'domain_name': 'gateway.staging.stockx.io', 'base_path': 'public', 'regional_domain_name': 'd-98lfrulerh.execute-api.us-east-1.amazonaws.com'}]"
